productID,productName,supplierID,categoryID,quantityPerUnit,unitPrice,unitsInStock,unitsOnOrder,reorderLevel,discontinued
15186598,Rössle Sauerkraut,8,1,10 - 200 g glasses,11.53,16,6,0,False
11416467,Chai,17,2,10 boxes x 12 pieces,19.21,0,1,30,False
295775,Chef Anton's Cajun Seasoning,14,2,12 - 500 g pkgs.,2.5,44,6,8,False
14698121,Sirop d'érable,2,5,32 - 1 kg pkgs.,53.51,38,0,9,False
647379,Chef Anton's Gumbo Mix,2,1,24 - 12 oz bottles,21.49,21,0,25,False
5543879,Schoggi Schokolade,12,2,24 - 12 oz bottles,23.95,19,6,0,False
9502174,Valkoinen suklaa,13,3,24 - 500 g pkgs.,18.41,11,3,30,False
15197132,Pâté chinois,1,8,750 cc per bottle,39.67,41,0,3,True
8390712,Thüringer Rostbratwurst,10,2,32 - 1 kg pkgs.,23.64,49,4,30,True
12442837,Aniseed Syrup,23,6,24 pkgs. x 4 pieces,38.29,29,0,9,False
7737612,Guaraná Fantástica,16,7,16 kg pkg.,2.5,31,8,1,False
14861017,Jack's New England Clam Chowder,1,5,20 - 2 kg bags,34.96,26,0,1,True
12973427,Gnocchi di nonna Alice,10,6,5 kg pkg.,35.41,27,0,14,False
9106533,Chef Anton's Gumbo Mix,1,3,48 pieces,36.04,0,11,25,False
2138264,Ipoh Coffee,1,4,24 - 500 ml bottles,47.15,64,0,4,False
4946446,Mascarpone Fabioli,13,2,24 - 355 ml bottles,23.77,21,0,30,False
8773454,Wimmers gute Semmelknödel,1,5,24 - 250 g pkgs.,2.5,125,0,30,False
4570624,Mishi Kobe Niku,14,1,12 - 100 g bars,2.5,43,58,30,False
14815666,Filo Mix,4,5,24 - 12 oz bottles,2.5,22,0,14,False
5586329,Uncle Bob's Organic Dried Pears,21,1,16 - 500 g tins,2.5,42,17,8,True
11089382,Grandma's Boysenberry Spread,11,7,48 - 6 oz jars,20.44,113,11,15,False
4981479,Wimmers gute Semmelknödel,12,4,18 - 500 g pkgs.,2.5,34,2,0,False
4453329,Sirop d'érable,3,4,2 kg box,60.18,56,0,11,False
5383632,Louisiana Fiery Hot Pepper Sauce,9,2,12 - 550 ml bottles,47.51,24,35,30,False
2335541,Chef Anton's Cajun Seasoning,20,2,12 - 75 cl bottles,28.41,125,0,30,False
11109304,Teatime Chocolate Biscuits,1,2,24 - 250 ml bottles,2.5,25,9,10,True
8568021,Scottish Longbreads,7,1,1 kg pkg.,9.66,125,0,4,False
14013780,Vegie-spread,15,8,15 - 625 g jars,2.5,15,3,6,False
8822601,Mascarpone Fabioli,7,6,10 kg pkg.,23.67,125,0,13,False
13100055,Schoggi Schokolade,13,7,100 - 250 g bags,16.87,43,0,12,False
10864198,Thüringer Rostbratwurst,1,4,48 pieces,10.79,125,59,30,False
12877210,Röd Kaviar,16,3,24 - 8 oz jars,10.8,13,0,9,False
10316365,Grandma's Boysenberry Spread,1,5,24 - 355 ml bottles,4.4,72,2,15,False
11011254,Röd Kaviar,4,1,12 - 500 g pkgs.,2.5,125,0,26,False
5837753,Filo Mix,20,3,500 ml,2.5,25,0,25,False
2704881,Steeleye Stout,28,4,10 boxes x 12 pieces,8.49,0,0,5,False
5411098,Rössle Sauerkraut,4,1,5 kg pkg.,33.2,29,0,6,False
8500520,Spegesild,14,1,16 - 2 kg boxes,18.6,2,5,29,False
13998017,Schoggi Schokolade,4,7,24 - 500 ml bottles,8.56,21,0,30,False
8217403,Ipoh Coffee,25,3,10 boxes x 8 pieces,2.5,47,0,21,False
